HQ_Saturdays,HQ_Sundays,HQ_Holidays,HQ_OtherOffs,XM_Saturdays,XM_Sundays,XM_Holidays,
2022/12/31,2023/1/1,2023/1/1,2023/1/2,2022/12/31,2023/1/1,2023/1/1,
2023/1/7,2023/1/8,2023/1/21,2023/1/20,2023/1/7,2023/1/8,2023/1/2,
2023/1/14,2023/1/15,2023/1/22,2023/1/25,2023/1/14,2023/1/15,2023/1/21,
2023/1/21,2023/1/22,2023/1/23,2023/1/26,2023/1/21,2023/1/22,2023/1/22,
2023/1/28,2023/1/29,2023/1/24,2023/1/27,,,2023/1/23,
2023/2/4,2023/2/5,2023/2/28,2023/2/27,2023/2/4,2023/2/5,2023/1/24,
2023/2/11,2023/2/12,2023/4/4,2023/4/3,2023/2/11,2023/2/12,2023/1/25,
2023/2/18,2023/2/19,2023/4/5,2023/6/23,2023/2/18,2023/2/19,2023/1/26,
2023/2/25,2023/2/26,2023/5/1,2023/10/9,2023/2/25,2023/2/26,2023/1/27,
2023/3/4,2023/3/5,2023/6/22,2024/2/8,2023/3/4,2023/3/5,2023/4/5,
2023/3/11,2023/3/12,2023/9/29,2024/2/13,2023/3/11,2023/3/12,2023/4/29,
2023/3/18,2023/3/19,2023/10/10,2024/2/14,2023/3/18,2023/3/19,2023/4/30,
2023/3/25,2023/3/26,2024/1/1,,2023/3/25,2023/3/26,2023/5/1,
2023/4/1,2023/4/2,2024/2/9,,2023/4/1,2023/4/2,2023/5/2,
2023/4/8,2023/4/9,2024/2/10,,2023/4/8,2023/4/9,2023/5/3,
2023/4/15,2023/4/16,2024/2/11,,2023/4/15,2023/4/16,2023/6/22,
2023/4/22,2023/4/23,2024/2/12,,2023/4/22,,2023/6/23,
2023/4/29,2023/4/30,2024/2/28,,2023/4/29,2023/4/30,2023/6/24,
2023/5/6,2023/5/7,2024/4/4,,2023/5/6,2023/5/7,2023/9/29,
2023/5/13,2023/5/14,2024/4/5,,2023/5/13,2023/5/14,2023/9/30,
2023/5/20,2023/5/21,2024/5/1,,2023/5/20,2023/5/21,2023/10/1,
2023/5/27,2023/5/28,2024/6/10,,2023/5/27,2023/5/28,2023/10/2,
2023/6/3,2023/6/4,2024/9/17,,2023/6/3,2023/6/4,2023/10/3,
2023/6/10,2023/6/11,2024/10/10,,2023/6/10,2023/6/11,2023/10/4,
2023/6/17,2023/6/18,2025/1/1,,2023/6/17,2023/6/18,2023/10/5,
2023/6/24,2023/6/25,2025/2/28,,2023/6/24,,2023/10/6,
2023/7/1,2023/7/2,2025/10/10,,2023/7/1,2023/7/2,2024/2/10,
2023/7/8,2023/7/9,,,2023/7/8,2023/7/9,2024/2/11,
2023/7/15,2023/7/16,,,2023/7/15,2023/7/16,2024/2/12,
2023/7/22,2023/7/23,,,2023/7/22,2023/7/23,2024/2/13,
2023/7/29,2023/7/30,,,2023/7/29,2023/7/30,2024/2/14,
2023/8/5,2023/8/6,,,2023/8/5,2023/8/6,2024/2/15,
2023/8/12,2023/8/13,,,2023/8/12,2023/8/13,2024/2/16,
2023/8/19,2023/8/20,,,2023/8/19,2023/8/20,2024/2/17,
2023/8/26,2023/8/27,,,2023/8/26,2023/8/27,2024/4/4,
2023/9/2,2023/9/3,,,2023/9/2,2023/9/3,2024/4/5,
2023/9/9,2023/9/10,,,2023/9/9,2023/9/10,2024/4/6,
2023/9/16,2023/9/17,,,2023/9/16,2023/9/17,2024/5/1,
2023/9/23,2023/9/24,,,2023/9/23,2023/9/24,2024/5/2,
2023/9/30,2023/10/1,,,2023/9/30,2023/10/1,2024/5/3,
2023/10/7,2023/10/8,,,,,2024/5/4,
2023/10/14,2023/10/15,,,2023/10/14,2023/10/15,2024/5/5,
2023/10/21,2023/10/22,,,2023/10/21,2023/10/22,2024/6/8,
2023/10/28,2023/10/29,,,2023/10/28,2023/10/29,2024/6/9,
2023/11/4,2023/11/5,,,2023/11/4,2023/11/5,2024/6/10,
2023/11/11,2023/11/12,,,2023/11/11,2023/11/12,2024/9/15,
2023/11/18,2023/11/19,,,2023/11/18,2023/11/19,2024/9/16,
2023/11/25,2023/11/26,,,2023/11/25,2023/11/26,2024/9/17,
2023/12/2,2023/12/3,,,2023/12/2,2023/12/3,2024/10/1,
2023/12/9,2023/12/10,,,2023/12/9,2023/12/10,2024/10/2,
2023/12/16,2023/12/17,,,2023/12/16,2023/12/17,2024/10/3,
2023/12/23,2023/12/24,,,2023/12/23,2023/12/24,2024/10/4,
2023/12/30,2023/12/31,,,2023/12/30,2023/12/31,2024/10/5,
2024/1/6,2024/1/7,,,2024/1/6,2024/1/7,2024/10/6,
2024/1/13,2024/1/14,,,2024/1/13,2024/1/14,2024/10/7,
2024/1/20,2024/1/21,,,2024/1/20,2024/1/21,,
2024/1/27,2024/1/28,,,2024/1/27,2024/1/28,,
2024/2/3,2024/2/4,,,2024/2/3,,,
2024/2/10,2024/2/11,,,2024/2/10,2024/2/11,,
2024/2/17,2024/2/18,,,2024/2/17,,,
2024/2/24,2024/2/25,,,2024/2/24,2024/2/25,,
2024/3/2,2024/3/3,,,2024/3/2,2024/3/3,,
2024/3/9,2024/3/10,,,2024/3/9,2024/3/10,,
2024/3/16,2024/3/17,,,2024/3/16,2024/3/17,,
2024/3/23,2024/3/24,,,2024/3/23,2024/3/24,,
2024/3/30,2024/3/31,,,2024/3/30,2024/3/31,,
2024/4/6,2024/4/7,,,2024/4/6,,,
2024/4/13,2024/4/14,,,2024/4/13,2024/4/14,,
2024/4/20,2024/4/21,,,2024/4/20,2024/4/21,,
2024/4/27,2024/4/28,,,2024/4/27,,,
2024/5/4,2024/5/5,,,2024/5/4,2024/5/5,,
2024/5/11,2024/5/12,,,,2024/5/12,,
2024/5/18,2024/5/19,,,2024/5/18,2024/5/19,,
2024/5/25,2024/5/26,,,2024/5/25,2024/5/26,,
2024/6/1,2024/6/2,,,2024/6/1,2024/6/2,,
2024/6/8,2024/6/9,,,2024/6/8,2024/6/9,,
2024/6/15,2024/6/16,,,2024/6/15,2024/6/16,,
2024/6/22,2024/6/23,,,2024/6/22,2024/6/23,,
2024/6/29,2024/6/30,,,2024/6/29,2024/6/30,,
2024/7/6,2024/7/7,,,2024/7/6,2024/7/7,,
2024/7/13,2024/7/14,,,2024/7/13,2024/7/14,,
2024/7/20,2024/7/21,,,2024/7/20,2024/7/21,,
2024/7/27,2024/7/28,,,2024/7/27,2024/7/28,,
2024/8/3,2024/8/4,,,2024/8/3,2024/8/4,,
2024/8/10,2024/8/11,,,2024/8/10,2024/8/11,,
2024/8/17,2024/8/18,,,2024/8/17,2024/8/18,,
2024/8/24,2024/8/25,,,2024/8/24,2024/8/25,,
2024/8/31,2024/9/1,,,2024/8/31,2024/9/1,,
2024/9/7,2024/9/8,,,2024/9/7,2024/9/8,,
2024/9/14,2024/9/15,,,,2024/9/15,,
2024/9/21,2024/9/22,,,2024/9/21,2024/9/22,,
2024/9/28,2024/9/29,,,2024/9/28,,,
2024/10/5,2024/10/6,,,2024/10/5,2024/10/6,,
